ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,ÃÑ°è
ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,³íº­Àç¹è³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼Âø±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÃÑ°è
¿¬Ãµ±º,³íº­,1237,433,439,506,530,156,157,508,551,338,340,17,17,2034
°¡Æò±º,³íº­,734,408,425,207,216,60,60,292,300,131,131,9,9,1141
¾çÆò±º,³íº­,2338,1283,1344,832,863,296,296,899,936,596,602,17,18,4059
µ¿ºÎ,³íº­,2662,793,868,463,494,172,176,373,391,438,447,12,12,2388
À¾ºÎ,³íº­,4946,2080,2163,2190,2287,543,551,1450,1560,1580,1588,37,37,8186
¸éºÎ,³íº­,7466,4405,4666,3368,3525,1139,1155,3132,3367,2508,2528,78,80,15321
ÃáÃµ½Ã,³íº­,1022,428,452,274,288,82,85,234,246,204,205,12,12,1288
¿øÁÖ½Ã,³íº­,2970,1312,1364,740,764,256,259,874,935,717,724,16,16,4062
°­¸ª½Ã,³íº­,1847,965,1063,643,699,246,251,498,528,587,591,13,14,3146
µ¿ÇØ½Ã,³íº­,155,82,110,27,31,9,11,55,62,46,48,3,3,265
ÅÂ¹é½Ã,³íº­,6,4,5,3,4,2,2,-,-,2,2,-,-,13
¼ÓÃÊ½Ã,³íº­,309,128,133,85,86,31,32,73,77,57,59,-,-,387
»ïÃ´½Ã,³íº­,460,267,294,155,167,96,98,202,204,131,132,4,4,899
È«Ãµ±º,³íº­,1168,702,730,603,625,172,175,495,519,395,397,14,14,2460
È¾¼º±º,³íº­,1082,656,699,520,538,119,120,497,520,353,356,7,7,2240
¿µ¿ù±º,³íº­,131,77,81,55,58,24,24,64,78,47,48,1,1,290
ÆòÃ¢±º,³íº­,93,63,63,50,58,22,22,49,55,35,36,1,1,235
Á¤¼±±º,³íº­,85,54,59,38,40,16,16,30,35,23,24,2,2,176
Ã¶¿ø±º,³íº­,2551,749,763,1307,1353,122,124,515,553,823,826,25,25,3644
È­Ãµ±º,³íº­,175,103,111,94,96,29,30,92,95,59,61,3,3,396
¾ç±¸±º,³íº­,599,265,281,320,347,74,74,228,251,174,175,5,6,1134
ÀÎÁ¦±º,³íº­,354,148,156,119,124,31,31,93,103,82,82,3,3,499
°í¼º±º,³íº­,1139,649,679,618,646,318,322,463,544,458,462,9,9,2662
¾ç¾ç±º,³íº­,928,626,654,370,382,205,206,493,513,333,335,9,9,2099
µ¿ºÎ,³íº­,4958,765,806,492,546,228,233,480,543,388,392,26,26,2546
À¾ºÎ,³íº­,5178,1944,2014,1151,1220,494,497,1300,1421,938,953,32,34,6139
¸éºÎ,³íº­,11700,6326,6568,3450,3624,1393,1414,4673,5140,2806,2840,103,109,19695
ÃæÁÖ½Ã,³íº­,2567,1145,1200,665,701,230,235,763,869,450,455,25,25,3485
Á¦Ãµ½Ã,³íº­,1016,340,359,222,249,98,101,322,374,201,203,7,7,1293
Ã»ÁÖ½Ã,³íº­,8217,2434,2522,1427,1544,662,668,1674,1825,1163,1182,50,53,7794
»ó´ç±¸,³íº­,2089,717,740,351,380,188,188,530,563,305,307,13,14,2192
¼­¿ø±¸,³íº­,1598,342,362,138,146,66,67,270,299,143,146,9,9,1029
Èï´ö±¸,³íº­,2040,541,556,396,435,173,173,324,362,281,287,9,10,1823
Ã»¿ø±¸,³íº­,2490,834,864,542,583,235,240,550,601,434,442,19,20,2750
º¸Àº±º,³íº­,1615,1016,1064,598,614,276,280,786,872,486,487,20,24,3341
¿ÁÃµ±º,³íº­,1321,746,765,360,374,146,150,478,499,292,296,7,7,2091
¿µµ¿±º,³íº­,693,403,414,182,195,93,95,213,239,167,169,6,6,1118
ÁøÃµ±º,³íº­,2263,937,965,513,532,183,183,618,667,393,397,16,17,2761
±«»ê±º,³íº­,1059,568,601,323,342,128,130,508,576,265,271,6,6,1926
À½¼º±º,³íº­,2168,1083,1124,583,615,223,226,797,861,512,517,15,15,3358
´Ü¾ç±º,³íº­,89,46,49,25,25,7,7,41,51,21,21,1,1,154
ÁõÆò±º,³íº­,828,317,325,195,199,69,69,253,271,182,187,8,8,1059
µ¿ºÎ,³íº­,8736,1955,2062,1167,1238,452,459,906,990,937,947,46,51,5747
À¾ºÎ,³íº­,13334,5253,5481,3287,3599,1272,1296,3082,3418,2314,2355,122,125,16274
¸éºÎ,³íº­,44607,23868,24911,14429,15634,5320,5367,15219,16606,9850,9975,471,486,72979
Ãµ¾È½Ã,³íº­,5149,1679,1724,925,983,335,339,1079,1130,699,708,35,35,4919
µ¿³²±¸,³íº­,3048,1047,1071,517,542,194,195,790,825,447,454,17,17,3104
¼­ºÏ±¸,³íº­,2101,632,653,408,441,141,144,289,305,252,254,18,18,1815
°øÁÖ½Ã,³íº­,4810,1807,1841,889,936,342,345,1347,1433,756,760,39,45,5360
º¸·É½Ã,³íº­,5269,2909,3223,1412,1517,495,496,1643,1756,1124,1133,37,38,8163
¾Æ»ê½Ã,³íº­,5413,2220,2272,1428,1481,487,491,1028,1113,894,899,21,21,6277
¼­»ê½Ã,³íº­,6563,3316,3481,2174,2393,856,875,1637,1832,1609,1638,108,110,10329
³í»ê½Ã,³íº­,5345,1780,1830,1274,1365,468,470,902,1016,851,863,31,32,5576
°è·æ½Ã,³íº­,203,60,62,32,34,10,10,45,46,22,22,2,2,176
´çÁø½Ã,³íº­,6877,3560,3706,2538,2865,990,1000,2105,2354,1666,1697,84,85,11707
±Ý»ê±º,³íº­,1590,705,718,297,303,114,114,430,452,263,265,21,21,1873
ºÎ¿©±º,³íº­,4895,1965,2017,1409,1550,458,464,1450,1579,872,884,67,70,6564
¼­Ãµ±º,³íº­,3881,1814,1891,1128,1242,516,524,1177,1291,894,906,40,41,5895
Ã»¾ç±º,³íº­,3018,1548,1571,869,926,330,333,1818,2101,639,648,30,30,5609
È«¼º±º,³íº­,5457,2914,3053,1567,1684,535,543,1974,2078,939,956,55,60,8374
¿¹»ê±º,³íº­,5207,2886,2963,1931,2066,730,738,1566,1713,1069,1076,30,32,8588
ÅÂ¾È±º,³íº­,3000,1913,2102,1010,1126,378,380,1006,1120,804,822,39,40,5590
µ¿ºÎ,³íº­,11326,2254,2408,1668,2019,792,827,1381,1615,1160,1193,73,76,8138
À¾ºÎ,³íº­,5901,2214,2344,1690,1929,698,721,1325,1524,997,1015,76,80,7613
¸éºÎ,³íº­,30946,15264,16258,10948,12899,4678,4821,10364,12063,6937,7090,372,382,53513
ÀüÁÖ½Ã,³íº­,3424,711,750,380,458,159,164,391,441,217,220,12,12,2045
¿Ï»ê±¸,³íº­,1453,223,237,116,126,55,56,129,142,83,83,5,5,649
´öÁø±¸,³íº­,1971,488,513,264,332,104,108,262,299,134,137,7,7,1396
±º»ê½Ã,³íº­,5242,1335,1535,1167,1697,690,747,1011,1370,863,906,64,68,6323
ÀÍ»ê½Ã,³íº­,7394,2209,2320,1957,2369,924,955,1334,1630,1289,1333,60,63,8670
Á¤À¾½Ã,³íº­,4671,2241,2357,1694,1961,868,885,1789,2094,1172,1201,73,73,8571
³²¿ø½Ã,³íº­,4216,1983,2048,1322,1398,347,349,1021,1082,758,762,27,33,5672
±èÁ¦½Ã,³íº­,4603,2017,2112,1871,2331,934,972,1453,1730,1147,1166,66,67,8378
