"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼»è±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"Ã¶¿ø±º","³íº­",2828,1314,1342,1407,1462,189,199,745,755,925,993,1232,1237,8,8,43,50,180,2673
"È­Ãµ±º","³íº­",326,240,258,135,139,42,42,91,94,98,100,146,148,5,5,5,5,30,389
"¾ç±¸±º","³íº­",723,416,437,361,379,105,106,150,151,262,278,278,282,4,4,7,8,309,3584
"ÀÎÁ¦±º","³íº­",522,278,285,174,178,57,57,83,83,168,182,181,182,15,15,6,6,69,1133
"°í¼º±º","³íº­",1291,925,961,722,746,393,393,250,257,573,620,668,670,14,14,21,29,139,1758
"¾ç¾ç±º","³íº­",1123,891,928,487,494,272,273,253,254,643,653,600,604,10,10,14,14,91,1365
"µ¿ºÎ","³íº­",5564,1024,1052,506,556,248,253,708,738,615,688,534,545,18,18,24,29,65,1281
"À¾ºÎ","³íº­",5923,2644,2711,1170,1238,541,545,1651,1721,1808,1987,1358,1372,40,41,53,63,215,4256
"¸éºÎ","³íº­",15261,9101,9358,3705,3843,1591,1603,5705,5907,6922,7466,4081,4108,181,183,172,206,1010,16547
"ÃæÁÖ½Ã","³íº­",3499,1712,1764,767,818,281,283,1061,1114,1262,1419,706,719,79,79,38,43,129,3261
"Á¦Ãµ½Ã","³íº­",1316,536,557,230,255,111,114,530,584,507,592,316,320,6,6,13,13,31,535
"Ã»ÁÖ½Ã","³íº­",9222,3322,3398,1556,1643,758,764,2010,2055,2343,2532,1708,1721,32,34,70,99,471,7608
"»ó´ç±¸","³íº­",2361,893,916,361,382,194,196,631,643,732,797,436,439,17,18,20,21,178,2484
"¼­¿ø±¸","³íº­",1650,458,476,154,160,64,65,299,311,343,368,196,199,2,2,8,30,68,861
"Èï´ö±¸","³íº­",2645,926,950,493,520,227,230,521,533,596,650,476,479,6,7,17,22,101,1749
"Ã»¿ø±¸","³íº­",2566,1045,1056,548,581,273,273,559,568,672,717,600,604,7,7,25,26,124,2514
"º¸Àº±º","³íº­",2221,1437,1465,598,611,262,264,821,833,1053,1104,585,587,51,52,29,29,170,2586
