행정구역별,특성별,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,총계
행정구역별,특성별,농가수 (가구),경운기-농가 (가구),경운기-대수 (대),트랙터-농가 (가구),트랙터-대수 (대),콤바인-농가 (가구),콤바인-대수 (대),관리기-농가 (가구),관리기-대수 (대),건조기-농가 (가구),건조기-대수 (대),이앙기-농가 (가구),이앙기-대수 (대),과수원용 SS분무기-농가 (가구),과수원용 SS분무기-대수 (대),농업용난방기-농가 (가구),농업용난방기-대수 (대),총계
청도군,논 벼,1167,911,1023,218,229,162,166,617,624,273,290,476,485,34,34,6,9,2860
고령군,논 벼,2436,1553,1696,316,326,176,177,537,542,89,90,765,768,1,1,20,25,3625
성주군,논 벼,1655,894,927,165,179,81,83,561,563,43,50,386,392,3,3,8,18,2215
칠곡군,논 벼,2333,1520,1690,222,232,139,140,670,677,86,93,713,727,17,17,6,9,3585
예천군,논 벼,5854,3556,3824,1197,1223,537,543,1528,1552,2364,2520,2199,2235,33,34,34,46,11977
봉화군,논 벼,1630,978,1067,281,285,91,92,685,703,678,717,522,530,14,14,3,4,3412
울진군,논 벼,3549,2049,2321,432,453,312,321,472,484,878,956,1110,1132,5,5,18,23,5695
경상남도,논 벼,75014,45257,50599,10555,11090,6517,6631,17263,17542,5959,6393,19815,20124,417,418,532,889,113686
창원시,논 벼,1724,1010,1083,282,304,151,157,479,491,105,114,334,335,5,5,45,92,2581
마산시,논 벼,2461,1395,1594,275,284,190,191,319,319,99,104,606,615,6,6,6,11,3124
진주시,논 벼,6528,3650,4028,640,655,408,411,1291,1305,379,409,1403,1421,37,37,59,103,8369
진해시,논 벼,462,225,269,61,64,39,42,112,114,19,19,114,123,6,6,2,2,639
통영시,논 벼,639,329,392,58,60,50,53,190,195,14,15,136,137,3,3,2,3,858
사천시,논 벼,4854,3157,3640,747,774,494,506,1050,1060,319,343,1366,1388,32,33,18,24,7768
김해시,논 벼,4171,2328,2572,671,786,439,452,754,769,274,288,1073,1107,55,55,28,49,6078
밀양시,논 벼,4265,2694,2892,591,639,279,285,1354,1378,561,622,1060,1072,76,76,140,253,7217
거제시,논 벼,3303,1601,1795,327,350,301,311,599,612,232,253,614,638,16,16,17,31,4006
양산시,논 벼,1466,970,1178,179,190,174,179,180,186,50,52,564,584,10,10,1,1,2380
의령군,논 벼,3895,2345,2562,459,477,326,329,562,569,296,316,992,999,7,7,20,26,5285
함안군,논 벼,4241,2478,2610,567,583,294,300,1308,1316,308,319,1051,1064,16,16,17,24,6232
창녕군,논 벼,4320,2630,2915,756,843,410,418,1629,1675,540,582,1314,1331,28,28,69,114,7906
고성군,논 벼,5233,3468,4066,927,975,596,603,989,995,483,508,1446,1471,25,25,37,50,8693
남해군,논 벼,1712,1128,1351,398,420,232,238,424,431,163,172,531,543,3,3,3,4,3162
하동군,논 벼,4866,3125,3472,748,778,480,490,1250,1270,397,426,1202,1235,21,21,14,15,7707
산청군,논 벼,4525,3166,3567,822,834,535,538,718,727,373,387,1612,1621,23,23,21,25,7722
함양군,논 벼,4977,2738,2953,575,579,295,296,1379,1402,338,368,1157,1163,18,18,6,10,6789
거창군,논 벼,5305,3001,3289,643,651,303,307,1664,1706,414,438,1320,1335,26,26,14,25,7777
합천군,논 벼,6067,3819,4371,829,844,521,525,1012,1022,595,658,1920,1942,4,4,13,27,9393
제주도,논 벼,9,4,4,2,2,2,2,2,2,1,1,1,1,0,0,1,1,13
제주시,논 벼,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
서귀포시,논 벼,4,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,7
