"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"¿©ÁÖ±º","³íº­",5223,3168,3216,2072,2133,806,808,843,851,1309,1376,1862,1875,14,14,74,3199
"¿¬Ãµ±º","³íº­",1826,866,883,505,526,225,226,266,266,413,455,561,566,5,5,37,1075
"°¡Æò±º","³íº­",1254,849,892,235,238,101,102,197,199,287,293,377,380,13,13,42,1517
"¾çÆò±º","³íº­",4008,2462,2593,967,1000,407,409,504,507,1064,1119,1356,1367,8,8,267,3421
"µ¿ºÎ","³íº­",3229,1425,1623,461,481,235,238,535,566,239,257,882,894,12,13,34,697
"À¾ºÎ","³íº­",6696,4051,4292,2517,2606,809,812,1268,1284,1491,1727,2768,2790,10,10,195,3327
"¸éºÎ","³íº­",12183,8376,9094,3800,3909,1617,1634,2554,2614,2660,2898,5298,5368,23,23,518,7863
"ÃáÃµ½Ã","³íº­",1422,742,791,271,279,103,104,309,311,151,160,404,406,5,5,16,232
"¿øÁÖ½Ã","³íº­",3579,1953,2097,750,768,313,314,871,894,686,769,1266,1282,17,17,57,942
"°­¸ª½Ã","³íº­",2761,1685,1962,612,645,273,279,579,615,249,266,1094,1114,13,14,24,612
"µ¿ÇØ½Ã","³íº­",273,186,250,30,33,23,23,61,65,35,45,105,108,-,-,17,343
"ÅÂ¹é½Ã","³íº­",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"¼ÓÃÊ½Ã","³íº­",369,213,226,78,79,42,43,46,46,61,64,125,127,1,1,6,77
"»ïÃ´½Ã","³íº­",723,437,491,122,132,109,111,143,145,144,157,232,237,-,-,19,220
"È«Ãµ±º","³íº­",2302,1664,1785,791,805,313,316,462,471,451,496,1070,1077,-,-,80,1170
"È¾¼º±º","³íº­",1667,1135,1210,513,526,169,169,324,336,295,315,715,722,1,1,45,810
"¿µ¿ù±º","³íº­",343,218,235,89,92,33,34,98,106,175,204,124,127,-,-,18,248
"ÆòÃ¢±º","³íº­",285,190,200,87,91,50,50,96,98,96,103,124,125,1,1,29,469
"Á¤¼±±º","³íº­",209,129,141,34,35,18,19,28,29,53,57,61,62,1,1,6,74
"Ã¶¿ø±º","³íº­",3262,1828,1887,1527,1591,243,245,644,648,768,959,1323,1332,3,3,85,1380
"È­Ãµ±º","³íº­",466,356,396,150,160,52,53,88,90,63,73,196,200,-,-,12,193
"¾ç±¸±º","³íº­",904,523,553,366,379,119,120,132,132,129,134,329,336,-,-,201,3005
"ÀÎÁ¦±º","³íº­",600,335,353,147,149,66,67,54,54,117,123,221,223,-,-,24,363
"°í¼º±º","³íº­",1507,1124,1200,770,780,440,441,218,220,503,534,789,791,-,-,66,1136
"¾ç¾ç±º","³íº­",1435,1134,1232,441,452,295,296,204,204,414,423,770,783,3,3,42,613
"µ¿ºÎ","³íº­",5728,1398,1460,549,585,293,297,669,686,610,677,742,749,21,22,46,1413
"À¾ºÎ","³íº­",6990,3347,3453,1164,1204,602,608,1694,1747,1997,2143,1750,1769,34,34,88,2828
"¸éºÎ","³íº­",19898,11807,12218,3538,3667,1749,1765,5870,6030,7526,8153,5459,5504,146,149,380,9466
"Ã»ÁÖ½Ã","³íº­",3768,910,949,384,404,200,203,362,367,368,412,478,485,8,8,24,713
"»ó´ç±¸","³íº­",1493,366,381,153,162,86,88,139,140,113,124,189,192,6,6,12,306
"Èï´ö±¸","³íº­",2275,544,568,231,242,114,115,223,227,255,288,289,293,2,2,12,407
"ÃæÁÖ½Ã","³íº­",4035,2094,2179,709,750,311,313,980,1020,1280,1439,925,935,52,53,51,2070
"Á¦Ãµ½Ã","³íº­",1595,684,723,231,242,115,115,537,567,535,600,425,427,17,18,26,687
"Ã»¿ø±º","³íº­",7016,3530,3664,1220,1285,685,690,1672,1717,2073,2271,1967,1995,21,21,167,3717
"º¸Àº±º","³íº­",2620,1604,1667,528,547,253,254,789,809,1077,1145,714,715,14,14,59,1549
"¿ÁÃµ±º","³íº­",2346,1335,1378,336,343,169,171,942,955,652,689,491,496,14,14,32,560
"¿µµ¿±º","³íº­",1151,665,699,133,140,63,66,425,432,221,226,208,212,22,23,10,275
"ÁøÃµ±º","³íº­",3484,1862,1909,578,589,300,304,586,593,1123,1230,888,893,10,10,20,1073
"±«»ê±º","³íº­",1899,1151,1191,317,325,172,172,644,670,943,1008,530,531,10,10,62,1222
"À½¼º±º","³íº­",3408,2131,2171,610,624,281,287,930,947,1464,1520,1013,1017,32,33,33,690
"´Ü¾ç±º","³íº­",239,104,109,26,26,11,11,79,83,86,97,39,39,-,-,4,47
"ÁõÆò±º","³íº­",1055,482,492,179,181,84,84,287,303,311,336,273,277,1,1,26,1104
"µ¿ºÎ","³íº­",8194,2549,2713,970,1041,472,483,1037,1058,655,763,1461,1482,33,36,61,3037
"À¾ºÎ","³íº­",17834,8643,9015,3421,3655,1689,1699,3823,3880,2904,3193,4140,4187,94,95,199,6449
"¸éºÎ","³íº­",62396,37091,38675,13746,14605,6519,6593,16967,17209,14112,15521,17496,17679,236,236,1228,29573
"Ãµ¾È½Ã","³íº­",6417,2797,2873,980,1018,428,432,1126,1146,1164,1231,1312,1325,65,65,41,1074
"µ¿³²±¸","³íº­",4002,1851,1903,550,565,262,266,712,725,953,1015,908,919,11,11,31,707
"¼­ºÏ±¸","³íº­",2415,946,970,430,453,166,166,414,421,211,216,404,406,54,54,10,367
"°øÁÖ½Ã","³íº­",6731,2973,3028,889,916,437,438,1490,1498,1266,1351,1505,1516,11,11,234,4372
"º¸·É½Ã","³íº­",6225,3902,4288,1205,1253,558,558,832,839,1216,1287,1986,2002,11,12,101,1961
"¾Æ»ê½Ã","³íº­",7032,3896,4044,1692,1802,701,716,1404,1427,933,1154,1716,1735,54,55,67,3826
"¼­»ê½Ã","³íº­",8441,5185,5405,2024,2136,1045,1056,1764,1786,1568,1751,2631,2659,23,24,187,6395
"³í»ê½Ã","³íº­",6472,2715,2792,1087,1177,571,584,1940,1974,769,923,1373,1394,21,21,101,3098
"°è·æ½Ã","³íº­",267,100,106,38,39,14,14,64,66,21,22,69,69,2,2,10,125
"±Ý»ê±º","³íº­",2891,1188,1219,271,282,148,150,966,989,405,435,418,422,3,3,37,882
"¿¬±â±º","³íº­",2990,1147,1177,433,473,234,241,659,672,525,571,603,618,27,27,40,1007
"ºÎ¿©±º","³íº­",5737,2589,2657,1042,1111,447,451,2112,2156,1159,1300,1453,1464,8,8,166,3816
"¼­Ãµ±º","³íº­",5059,2834,3181,1205,1322,602,608,1226,1244,1264,1432,1610,1641,4,4,64,1158
"Ã»¾ç±º","³íº­",3477,2136,2185,704,730,359,359,1172,1184,1842,1948,1088,1091,4,4,185,3725
"È«¼º±º","³íº­",6079,3655,3830,1173,1228,587,590,1699,1724,1257,1319,1461,1483,5,5,50,1218
"¿¹»ê±º","³íº­",6497,4291,4412,1788,1906,815,824,2408,2432,1341,1459,1562,1573,93,94,55,1940
"ÅÂ¾È±º","³íº­",4437,2885,3008,852,887,433,436,801,807,951,982,1375,1379,1,1,63,1683
"´çÁø±º","³íº­",9672,5990,6198,2754,3021,1301,1318,2164,2203,1990,2312,2935,2977,31,31,87,2779
"µ¿ºÎ","³íº­",11782,3671,3909,1856,2187,1049,1070,1921,1956,1489,1754,1839,1900,34,35,92,3866
"À¾ºÎ","³íº­",7017,3400,3556,1528,1686,741,756,1696,1720,1420,1621,1506,1532,21,21,183,5009
